image,noise,wavelet,level,threshold,mode,rmse,mae,ssim,wavepsi_haar
moon,gauss_sigma_0.03,baseline,,,,0.028186627174544624,0.021244010696969767,0.5657483330172607,0.4247430409904902
moon,gauss_sigma_0.03,haar,3.0,0.02,soft,0.017959763428697473,0.014154533190312348,0.7228714801602965,0.4276922896472915
moon,gauss_sigma_0.03,haar,3.0,0.02,hard,0.027232554801485093,0.020774896861855026,0.5768370828692164,0.43635255324825967
moon,gauss_sigma_0.03,haar,3.0,0.05,soft,0.01474932310912223,0.011450988684152723,0.7961013897442086,0.32437341490924276
moon,gauss_sigma_0.03,haar,3.0,0.05,hard,0.021041025419989322,0.016020286246698722,0.6789098490677684,0.3616448776019488
moon,gauss_sigma_0.03,haar,3.0,0.1,soft,0.017865991812512718,0.013143530332365734,0.7703505645199209,0.19094364652377835
moon,gauss_sigma_0.03,haar,3.0,0.1,hard,0.015779118639611664,0.01197052007047806,0.7872325732489087,0.23896167073799185
moon,gauss_sigma_0.03,db2,3.0,0.02,soft,0.017276609395334912,0.01358226279042128,0.7318729389005741,0.501267138269636
moon,gauss_sigma_0.03,db2,3.0,0.02,hard,0.02710949275723852,0.020725760250009103,0.5772983321867162,0.43328437892468546
moon,gauss_sigma_0.03,db2,3.0,0.05,soft,0.012691916013424627,0.010044394187833467,0.8182189788154121,0.5536479261913058
moon,gauss_sigma_0.03,db2,3.0,0.05,hard,0.020015752021074945,0.015051700562054356,0.6924468225489728,0.48847914918770197
moon,gauss_sigma_0.03,db2,3.0,0.1,soft,0.014926004023370212,0.011225723535480386,0.8044165986423851,0.5063711070234362
moon,gauss_sigma_0.03,db2,3.0,0.1,hard,0.0131837105665294,0.010217251673946095,0.815099189690197,0.5363874006436986
moon,gauss_sigma_0.05,baseline,,,,0.046745156049575576,0.03515932056263935,0.3422923278014692,0.3209493152767799
moon,gauss_sigma_0.05,haar,3.0,0.02,soft,0.03439623879371306,0.02667818424806995,0.45988232718733574,0.3378759707979636
moon,gauss_sigma_0.05,haar,3.0,0.02,hard,0.04631160794594926,0.03501320299901905,0.3446815820228336,0.3367264650254051
moon,gauss_sigma_0.05,haar,3.0,0.05,soft,0.02356124442283469,0.018816492913917647,0.6196081995116092,0.30833939354584106
moon,gauss_sigma_0.05,haar,3.0,0.05,hard,0.04192670767664845,0.03218356325384433,0.38225871819546425,0.31894465801493416
moon,gauss_sigma_0.05,haar,3.0,0.1,soft,0.02029387563543811,0.01585314054975597,0.709100509207802,0.21196470476721113
moon,gauss_sigma_0.05,haar,3.0,0.1,hard,0.028666332948917832,0.021295935142771175,0.5504939175159876,0.24220825990418535
moon,gauss_sigma_0.05,db2,3.0,0.02,soft,0.03406583281933596,0.02634394464230729,0.46482692245100177,0.37020975938412737
moon,gauss_sigma_0.05,db2,3.0,0.02,hard,0.046253809339054465,0.03509308939782264,0.3443937787050013,0.3231854447981984
moon,gauss_sigma_0.05,db2,3.0,0.05,soft,0.02239611193275467,0.017855112290490385,0.6362711962506717,0.43197084206084385
moon,gauss_sigma_0.05,db2,3.0,0.05,hard,0.0416388190806274,0.03181235466538643,0.38569429970903096,0.34367850162946334
moon,gauss_sigma_0.05,db2,3.0,0.1,soft,0.017808842491203528,0.014071318551352067,0.7422484059865072,0.474152200344585
moon,gauss_sigma_0.05,db2,3.0,0.1,hard,0.027261521655032366,0.020036608527828664,0.5701848226262414,0.41739972714695517
moon,unif_-0.05_0.05,baseline,,,,0.027105063173073516,0.022135598888268816,0.5749680940190829,0.4311936729761471
moon,unif_-0.05_0.05,haar,3.0,0.02,soft,0.017025059350895544,0.01429442707544596,0.7333036489592715,0.4309868769939455
moon,unif_-0.05_0.05,haar,3.0,0.02,hard,0.026080973787596273,0.02149199367063479,0.5876071570980458,0.44115896714664704
moon,unif_-0.05_0.05,haar,3.0,0.05,soft,0.014603018472089745,0.0113937446130641,0.7959264022231185,0.32220403258195796
moon,unif_-0.05_0.05,haar,3.0,0.05,hard,0.019592791666982766,0.015648096292701967,0.6971467271430842,0.36358137253252953
moon,unif_-0.05_0.05,haar,3.0,0.1,soft,0.017992473845073215,0.013277709925630049,0.7648526218114571,0.18875789243877356
moon,unif_-0.05_0.05,haar,3.0,0.1,hard,0.015602959084420992,0.011953312773296492,0.785735503791953,0.23796162616659292
moon,unif_-0.05_0.05,db2,3.0,0.02,soft,0.016238221099656877,0.013634792104686322,0.7434775301439374,0.5076964386695776
moon,unif_-0.05_0.05,db2,3.0,0.02,hard,0.025967480731671443,0.02139909975980839,0.5880619239638649,0.43798232577312407
moon,unif_-0.05_0.05,db2,3.0,0.05,soft,0.012406610352477731,0.009874462367659757,0.81955198376007,0.5624510891315477
moon,unif_-0.05_0.05,db2,3.0,0.05,hard,0.018395486179513223,0.014440255459209857,0.7127206773428316,0.5031813764821913
moon,unif_-0.05_0.05,db2,3.0,0.1,soft,0.015010207693839126,0.01132897747658387,0.7993662230702057,0.5064135854789413
moon,unif_-0.05_0.05,db2,3.0,0.1,hard,0.012963993274383702,0.010180531544105488,0.8145638610970893,0.5411150912354412
moon,unif_-0.1_0.1,baseline,,,,0.054159556112129185,0.0441458912694794,0.28033403111542443,0.29441846561036983
moon,unif_-0.1_0.1,haar,3.0,0.02,soft,0.04126876918187939,0.0346146050960741,0.3769575439258435,0.31058369189658963
moon,unif_-0.1_0.1,haar,3.0,0.02,hard,0.053826145036713076,0.044013344053097384,0.2817643266927243,0.3099712965479388
moon,unif_-0.1_0.1,haar,3.0,0.05,soft,0.0285412758771921,0.02411534433694666,0.5356830893081626,0.29509068106955044
moon,unif_-0.1_0.1,haar,3.0,0.05,hard,0.0500390460221745,0.04138095792684449,0.3057969545220911,0.30134596511973566
moon,unif_-0.1_0.1,haar,3.0,0.1,soft,0.022198437698451853,0.01772503509963493,0.6801815214576304,0.21870406547219126
moon,unif_-0.1_0.1,haar,3.0,0.1,hard,0.03632877208011196,0.028691734446558672,0.4374132057738393,0.24084129769486026
moon,unif_-0.1_0.1,db2,3.0,0.02,soft,0.040921798828822645,0.034233008415787095,0.38152320516144367,0.3346662832378592
moon,unif_-0.1_0.1,db2,3.0,0.02,hard,0.05378350825022752,0.044100626684544314,0.2816439262164601,0.29618343633521377
moon,unif_-0.1_0.1,db2,3.0,0.05,soft,0.02744007097202044,0.02308005084099391,0.5519441875829465,0.3883484562507831
moon,unif_-0.1_0.1,db2,3.0,0.05,hard,0.04984555828614915,0.04093669488665999,0.3078248551775611,0.3067284718365905
moon,unif_-0.1_0.1,db2,3.0,0.1,soft,0.01992191365447956,0.015989688368816174,0.7130832902020716,0.45277169121989264
moon,unif_-0.1_0.1,db2,3.0,0.1,hard,0.03481777836563532,0.027061605882706737,0.45656357132810604,0.3696486808482563
deep_sky,gauss_sigma_0.03,baseline,,,,0.030008801279074147,0.023942032109758333,0.5594878030681871,0.3049235867950222
deep_sky,gauss_sigma_0.03,haar,3.0,0.02,soft,0.017897795362775727,0.013879643146418241,0.7835243207103467,0.3422617928637858
deep_sky,gauss_sigma_0.03,haar,3.0,0.02,hard,0.029108480128142045,0.02311889020494748,0.5746411247544897,0.33897138137422494
deep_sky,gauss_sigma_0.03,haar,3.0,0.05,soft,0.011257555093772678,0.008285588473944916,0.923938622713739,0.28712589966047886
deep_sky,gauss_sigma_0.03,haar,3.0,0.05,hard,0.02137149857909099,0.015705561763424164,0.7214290559545572,0.30728595926473595
deep_sky,gauss_sigma_0.03,haar,3.0,0.1,soft,0.012544994506483635,0.008654699517703217,0.92400640567428,0.20089815353875512
deep_sky,gauss_sigma_0.03,haar,3.0,0.1,hard,0.011627119117223571,0.008269400013329072,0.9247841932265654,0.2291486249882119
deep_sky,gauss_sigma_0.03,db2,3.0,0.02,soft,0.017353568711497694,0.01334486796984587,0.7923647745818053,0.39468223959602067
deep_sky,gauss_sigma_0.03,db2,3.0,0.02,hard,0.029038524208581183,0.02301534737696239,0.5756722832946208,0.3116024386538684
deep_sky,gauss_sigma_0.03,db2,3.0,0.05,soft,0.009004265355847852,0.0066382723745044316,0.9491564498364808,0.5210101477999565
deep_sky,gauss_sigma_0.03,db2,3.0,0.05,hard,0.020612175836832933,0.0148740980145994,0.7339357572397741,0.38923292945338595
deep_sky,gauss_sigma_0.03,db2,3.0,0.1,soft,0.008999088465107516,0.006230312587478674,0.962424389344561,0.5464215318878453
deep_sky,gauss_sigma_0.03,db2,3.0,0.1,hard,0.008727092831001811,0.006134156255947507,0.9572469992283879,0.5413549091769073
deep_sky,gauss_sigma_0.05,baseline,,,,0.04995800945150135,0.03989604345346284,0.32257589222827554,0.22282596315501124
deep_sky,gauss_sigma_0.05,haar,3.0,0.02,soft,0.03620935291277619,0.028454951518402084,0.47204930113084836,0.25911394104304886
deep_sky,gauss_sigma_0.05,haar,3.0,0.02,hard,0.04957977069222653,0.03955586630849725,0.3259105745086768,0.2533486679655433
deep_sky,gauss_sigma_0.05,haar,3.0,0.05,soft,0.022063817404301682,0.016683199894757736,0.7162554466998681,0.26567688112380294
deep_sky,gauss_sigma_0.05,haar,3.0,0.05,hard,0.04517702744215083,0.035505153117302034,0.3686138640885179,0.2664913558369633
deep_sky,gauss_sigma_0.05,haar,3.0,0.1,soft,0.014305887526557747,0.010318146130906244,0.8961711513844809,0.21613297251268826
deep_sky,gauss_sigma_0.05,haar,3.0,0.1,hard,0.02828575606009714,0.019075277914599165,0.6198340648048295,0.2316626725781967
deep_sky,gauss_sigma_0.05,db2,3.0,0.02,soft,0.035970515883022,0.02812580389566723,0.47595105328183984,0.2683329099518654
deep_sky,gauss_sigma_0.05,db2,3.0,0.02,hard,0.049560974604698584,0.039513902572846496,0.3261003177512724,0.22385590334974165
deep_sky,gauss_sigma_0.05,db2,3.0,0.05,soft,0.02111942411681756,0.015781756381081917,0.732295537221516,0.35130021989642957
deep_sky,gauss_sigma_0.05,db2,3.0,0.05,hard,0.044943351542961855,0.035083818675920996,0.3713492959064015,0.24424572488204446
deep_sky,gauss_sigma_0.05,db2,3.0,0.1,soft,0.011533607513114604,0.008343511030402803,0.931731169523174,0.4750784293287326
deep_sky,gauss_sigma_0.05,db2,3.0,0.1,hard,0.02709876906612657,0.017907340556351604,0.6400266299988986,0.35267942918332656
deep_sky,unif_-0.05_0.05,baseline,,,,0.028863890903481633,0.025002750671807537,0.5756328221322974,0.3124114880529123
deep_sky,unif_-0.05_0.05,haar,3.0,0.02,soft,0.01668882046251459,0.013942799109319176,0.8055380247617578,0.34736734906260386
deep_sky,unif_-0.05_0.05,haar,3.0,0.02,hard,0.027923169431861888,0.02396953762948182,0.5917522370028465,0.3448910150452606
deep_sky,unif_-0.05_0.05,haar,3.0,0.05,soft,0.010687100610657106,0.007875962087333554,0.9334292930373449,0.28973213134051556
deep_sky,unif_-0.05_0.05,haar,3.0,0.05,hard,0.019566240030517587,0.01505941519187972,0.7543999344623393,0.31032224908574657
deep_sky,unif_-0.05_0.05,haar,3.0,0.1,soft,0.01250673556598245,0.008604908723482378,0.9242083472054972,0.20044247854455446
deep_sky,unif_-0.05_0.05,haar,3.0,0.1,hard,0.01112595174424274,0.008030714864789408,0.9318139849634415,0.22937222811922697
deep_sky,unif_-0.05_0.05,db2,3.0,0.02,soft,0.016008080962779996,0.013257137591085122,0.8165163257495247,0.40517225696717274
deep_sky,unif_-0.05_0.05,db2,3.0,0.02,hard,0.02784634337872618,0.02382843563841667,0.5928851110910911,0.3200214267587209
deep_sky,unif_-0.05_0.05,db2,3.0,0.05,soft,0.008189267880510873,0.006096904350676191,0.9600745136764282,0.5384583315350872
deep_sky,unif_-0.05_0.05,db2,3.0,0.05,hard,0.01843745101608379,0.013690249407561035,0.773734172825956,0.40682799009135345
deep_sky,unif_-0.05_0.05,db2,3.0,0.1,soft,0.008920892187702688,0.006152629188398742,0.9628010324978772,0.5503260948266139
deep_sky,unif_-0.05_0.05,db2,3.0,0.1,hard,0.00802260807012546,0.005822753981622602,0.9650576668039372,0.551616058931656
deep_sky,unif_-0.1_0.1,baseline,,,,0.05757486979914917,0.0498482869573916,0.2628441044991411,0.1956180126282519
deep_sky,unif_-0.1_0.1,haar,3.0,0.02,soft,0.04331323383819323,0.03719723250445838,0.38192726808426375,0.2279640380200064
deep_sky,unif_-0.1_0.1,haar,3.0,0.02,hard,0.057287756865893415,0.0495248761355295,0.26474052096934625,0.2226167071898799
deep_sky,unif_-0.1_0.1,haar,3.0,0.05,soft,0.02733456016897453,0.022493445935617275,0.6128503445015082,0.24464497564715607
deep_sky,unif_-0.1_0.1,haar,3.0,0.05,hard,0.05372251371714569,0.045864748422302704,0.28987188647889117,0.24119654172464214
deep_sky,unif_-0.1_0.1,haar,3.0,0.1,soft,0.01563807170284727,0.011574058365940608,0.8706909499072459,0.21681958079636177
deep_sky,unif_-0.1_0.1,haar,3.0,0.1,hard,0.036925075555932454,0.02768245283771348,0.47339706932377246,0.22691610452065594
deep_sky,unif_-0.1_0.1,db2,3.0,0.02,soft,0.043050727782275824,0.03678364765059269,0.3853996996913616,0.23195186069288415
deep_sky,unif_-0.1_0.1,db2,3.0,0.02,hard,0.05727620708511843,0.04950344458170244,0.26482253599538075,0.19618671420927655
deep_sky,unif_-0.1_0.1,db2,3.0,0.05,soft,0.026401716209577503,0.02139213536267296,0.629024685553535,0.2983622916215193
deep_sky,unif_-0.1_0.1,db2,3.0,0.05,hard,0.05359862080411793,0.04531414046519371,0.2910788473336567,0.207183864314201
deep_sky,unif_-0.1_0.1,db2,3.0,0.1,soft,0.013086856299000978,0.009682977913466135,0.9074274186373585,0.42967462649387517
