image,noise,method,variant,threshold,n_scales,RMSE,SSIM,HaarPSI
deep_sky,gaussian_003,mmt,diamond,soft,5,0.011830844232615116,0.9524228771622507,0.41248877428390207
deep_sky,gaussian_003,mmt_avg,square+diamond,soft,5,0.01300531259329791,0.9575086110335131,0.4568481171993652
deep_sky,gaussian_003,mmt,circle,soft,5,0.013250772754010254,0.9485690146200674,0.4076562492255414
deep_sky,gaussian_005,mmt,diamond,soft,5,0.014076786577739323,0.9248274898216018,0.387701591015714
deep_sky,gaussian_005,mmt_avg,square+diamond,soft,5,0.014532925045037072,0.9444734359193069,0.4393615859742444
deep_sky,gaussian_005,mmt,circle,soft,5,0.015366456216364507,0.9215326749021245,0.3867532845710009
deep_sky,uniform_005,mmt_avg,square+diamond,hard,5,0.011232265653875017,0.9435652033740897,0.4465251289747234
deep_sky,uniform_005,mmt,square,hard,5,0.012102441497243516,0.9345515269619318,0.42189612606779037
deep_sky,uniform_005,mmt,diamond,soft,5,0.012172089528420912,0.9582026920589091,0.4310929846047946
deep_sky,uniform_010,mmt,diamond,soft,5,0.015076866201440157,0.9344318794121199,0.39692843748057294
deep_sky,uniform_010,starlet,binomial3,hard,5,0.015613977707618291,0.9493557215517229,0.4464968900013435
deep_sky,uniform_010,mmt_avg,square+diamond,soft,5,0.015798811097185148,0.9489060517068235,0.44583697800413585
moon,gaussian_003,mmt,diamond,soft,5,0.015556804649942305,0.9057736665284579,0.4244356397684245
moon,gaussian_003,mmt_avg,square+diamond,soft,5,0.01630141280798414,0.9114086842415702,0.4835542439300587
moon,gaussian_003,mmt,circle,soft,5,0.016535894277364346,0.9010776882152596,0.42208876018335284
moon,gaussian_005,mmt_avg,square+diamond,soft,5,0.018571582323976748,0.8789364340389059,0.44842141895806287
moon,gaussian_005,mmt,diamond,soft,5,0.018573017394586343,0.8522604177184674,0.3804566210152274
moon,gaussian_005,mmt,square,soft,5,0.01870713023426152,0.8872484593873696,0.44642483620668916
moon,uniform_005,mmt,square,hard,5,0.013465681822128154,0.9085157918786746,0.46850218478368877
moon,uniform_005,mmt_avg,square+diamond,hard,5,0.013665303366419424,0.9050516835494423,0.4830754142101258
moon,uniform_005,starlet,binomial3,hard,5,0.015942994513198916,0.8741406410028122,0.5098099175510102
moon,uniform_010,mmt,diamond,soft,5,0.019364308554898128,0.8582666919156738,0.3776685619666041
moon,uniform_010,mmt_avg,square+diamond,soft,5,0.019536225443832083,0.8851903931334718,0.45462264978029776
moon,uniform_010,mmt,square,soft,5,0.02004971438885733,0.8831996937899199,0.44186545339475436
