volume,kernel,component,mean_laplacian_energy
total_phase,b3spline,original,2.0206396365662553
total_phase,b3spline,sum_details,2.0200223010746674
total_phase,b3spline,residual_cJ,2.766170225196396e-06
total_phase,binomial3,original,2.0206396365662553
total_phase,binomial3,sum_details,2.0189527452490945
total_phase,binomial3,residual_cJ,1.6387027373798856e-05
true_local,b3spline,original,0.12086117661321201
true_local,b3spline,sum_details,0.12086073607235907
true_local,b3spline,residual_cJ,6.428104109476659e-09
true_local,binomial3,original,0.12086117661321201
true_local,binomial3,sum_details,0.1208577455586005
true_local,binomial3,residual_cJ,4.5212413704641895e-08
vsharp_local,b3spline,original,0.0957423943779892
vsharp_local,b3spline,sum_details,0.09574236862781899
vsharp_local,b3spline,residual_cJ,1.360349998734298e-09
vsharp_local,binomial3,original,0.0957423943779892
vsharp_local,binomial3,sum_details,0.09574073816310558
vsharp_local,binomial3,residual_cJ,1.2855812114520306e-08
