volume,kernel,component,RMSE_to_true_local,relative_RMSE_to_true_local,correlation_to_true_local
total_phase,b3spline,w1,0.26979321120081634,3.997522178998645,0.20137608659376807
total_phase,b3spline,w2,0.2108648059169923,5.299694491088773,0.19723643249755463
total_phase,b3spline,w3,0.3009462668137936,8.114718496618353,0.1228692913284687
total_phase,b3spline,w4,0.440543793093412,13.884087234108364,0.03202624010464034
total_phase,b3spline,w5,0.5099326886804081,19.055174830202695,0.041626378441595474
total_phase,b3spline,cJ,0.3112144613357184,19.71528241270069,0.3737504209990431
total_phase,binomial3,w1,0.22223352396685367,3.8534960456927467,0.19901076155400999
total_phase,binomial3,w2,0.17598888922937264,4.779714938709803,0.2119240869667987
total_phase,binomial3,w3,0.2463145299434693,6.370671652690789,0.16287136581991843
total_phase,binomial3,w4,0.3712237282657756,10.778521432692775,0.07763565278981498
total_phase,binomial3,w5,0.5115063054156603,16.894104588272658,-0.0020813341805155467
total_phase,binomial3,cJ,0.5129484121871366,19.87327016382605,0.26726082981901766
vsharp_local,b3spline,w1,0.040472721927035805,0.5996837460351963,0.8054945524942997
vsharp_local,b3spline,w2,0.014387463845778835,0.36160212963290206,0.9324282598713015
vsharp_local,b3spline,w3,0.015839912776695282,0.42710758486796835,0.9046937101561474
vsharp_local,b3spline,w4,0.018594838058359563,0.5860310773953862,0.8161102212699745
vsharp_local,b3spline,w5,0.017540544505019812,0.6554554151549636,0.8192944656087883
vsharp_local,b3spline,cJ,0.011096430889940464,0.7029534162045172,0.7424029345075397
vsharp_local,binomial3,w1,0.03697547383016188,0.6411491823951646,0.7764442580907718
vsharp_local,binomial3,w2,0.013913746734337437,0.3778860325259549,0.9258726457632356
vsharp_local,binomial3,w3,0.014611571474865123,0.3779132486319515,0.926078474018127
vsharp_local,binomial3,w4,0.017415847594943322,0.5056710341430882,0.8642541947689294
vsharp_local,binomial3,w5,0.01926303920353597,0.636222458153435,0.7989785023153012
vsharp_local,binomial3,cJ,0.018108605035185462,0.7015855622201811,0.7690512040364421
